rn,spo
2001_1,0.07342197
2001_2,0.073191182
2001_3,0.073346146
2001_4,0.073722931
2001_5,0.073830804
2001_6,0.074109806
2001_7,0.060616862
2001_8,0.060223607
2001_9,0.060157066
2001_10,0.060203859
2001_11,0.060053493
2001_12,0.060082275
2002_1,0.06021494
2002_2,0.059995813
2002_3,0.060028754
2002_4,0.059880943
2002_5,0.060060987
2002_6,0.060199757
2002_7,0.047587698
2002_8,0.047133678
2002_9,0.047229689
2002_10,0.046718451
2002_11,0.046404928
2002_12,0.046332695
2003_1,0.046233399
2003_2,0.046652285
2003_3,0.046576266
2003_4,0.046522778
2003_5,0.04656724
2003_6,0.046496903
2003_7,0.034746373
2003_8,0.034436556
2003_9,0.034331434
2003_10,0.033992407
2003_11,0.034115849
2003_12,0.03401425
2004_1,0.034047175
2004_2,0.034124017
2004_3,0.034147067
2004_4,0.034320829
2004_5,0.03449326
2004_6,0.034487697
2004_7,0.024582267
2004_8,0.024177453
2004_9,0.023828135
2004_10,0.023570717
2004_11,0.023305704
2004_12,0.023205928
2005_1,0.023202325
2005_2,0.023307594
2005_3,0.023419799
2005_4,0.023671827
2005_5,0.024166067
2005_6,0.024393613
2005_7,0.018019071
2005_8,0.017502929
2005_9,0.017116981
2005_10,0.016213425
2005_11,0.016017441
2005_12,0.016117809
2006_1,0.016310182
2006_2,0.016663077
2006_3,0.017068134
2006_4,0.017537584
2006_5,0.018167998
2006_6,0.019091505
2006_7,0.016733042
2006_8,0.016426864
2006_9,0.016612774
2006_10,0.016664883
2006_11,0.016976011
2006_12,0.017448065
2007_1,0.017926511
2007_2,0.018866564
2007_3,0.019726808
2007_4,0.020673888
2007_5,0.020655824
2007_6,0.020860531
2007_7,0.02277746
2007_8,0.022269987
2007_9,0.021372164
2007_10,0.020889009
2007_11,0.020359932
2007_12,0.01982274
2008_1,0.019116323
2008_2,0.018198881
2008_3,0.017972478
2008_4,0.01781713
2008_5,0.017601151
2008_6,0.017680216
2008_7,0.022988189
2008_8,0.022589164
2008_9,0.021931895
2008_10,0.021034797
2008_11,0.020185064
2008_12,0.019782098
2009_1,0.018783793
2009_2,0.017984513
2009_3,0.017451721
2009_4,0.01690218
2009_5,0.016677992
2009_6,0.016498196
2009_7,0.024739825
2009_8,0.023905947
2009_9,0.023078791
2009_10,0.02206359
2009_11,0.021360315
2009_12,0.020654864
2010_1,0.019272096
2010_2,0.018615841
2010_3,0.018119618
2010_4,0.017669754
2010_5,0.017303043
2010_6,0.017077321
2010_7,0.026255859
2010_8,0.025480866
2010_9,0.024620178
2010_10,0.023871
2010_11,0.023225046
2010_12,0.02264271
2011_1,0.022238356
2011_2,0.021314213
2011_3,0.020897282
2011_4,0.02032231
2011_5,0.019746431
2011_6,0.020587938
2011_7,0.030531588
2011_8,0.029755164
2011_9,0.02973992
2011_10,0.029501593
2011_11,0.028879712
2011_12,0.028616402
2012_1,0.027930607
2012_2,0.026856747
2012_3,0.026611405
2012_4,0.026198604
2012_5,0.026171028
2012_6,0.025874758
2012_7,0.034917486
2012_8,0.03417024
2012_9,0.033493392
2012_10,0.033412492
2012_11,0.032430818
2012_12,0.033591914
2013_1,0.031710658
2013_2,0.031255039
2013_3,0.031315284
2013_4,0.031188339
2013_5,0.029237263
2013_6,0.028411558
2013_7,0.036594899
2013_8,0.035668278
2013_9,0.035181845
2013_10,0.034416322
2013_11,0.033057465
2013_12,0.032211097
2014_1,0.031437849
2014_2,0.030852041
2014_3,0.030506579
2014_4,0.02982193
2014_5,0.029835254
2014_6,0.029005041
2014_7,0.038032017
2014_8,0.037299793
2014_9,0.037004105
2014_10,0.036517024
2014_11,0.036324313
2014_12,0.036511241
2015_1,0.036288647
2015_2,0.035454214
2015_3,0.034944028
2015_4,0.034586503
2015_5,0.034838495
2015_6,0.036501196
2015_7,0.043122943
2015_8,0.044582062
2015_9,0.040843191
2015_10,0.041071563
2015_11,0.040946064
2015_12,0.041110247
